"jou","issn","SciMet_A","SciMet_B","SciMet_C","entry"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of Biopharmaceutical Statistics","1054-3406","Natural Sciences","Mathematics & Statistics","Statistics & Probability","auto_issn"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"Reviews of Modern Physics","0034-6861","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Self and Identity","1529-8868","Health Sciences","Psychology & Cognitive Sciences","Social Psychology","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Ciencias Marinas","0185-3880","Natural Sciences","Biology","Marine Biology & Hydrobiology","auto_issn"
"Journal of Crohn's and Colitis","1873-9946","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"Journal of Contemporary Brachytherapy","1689-832X","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","manual"
"Journal of Instrumentation","1748-0221","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Island Arc","1038-4871","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"International journal of systematic and evolutionary microbiology","1466-5026","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"The American journal of comparative law","0002-919X","Economic & Social Sciences","Social Sciences","Law","auto_issn"
"Journal of Internet Technology","1607-9264","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","auto_issn"
"Journal of Clinical Hypertension","1524-6175","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","auto_issn"
"IEEE Internet Computing","1089-7801","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","auto_issn"
"Acta Materialia","1359-6454","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Cardiovascular Research","0008-6363","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","auto_issn"
"Acta Geophysica Sinica","0001-5733","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Journal of Systems Science and Systems Engineering","1004-3756","Applied Sciences","Engineering","Operations Research","auto_issn"
"Simulation","0037-5497","Applied Sciences","Engineering","Operations Research","auto_issn"
"Transport in Porous Media","0169-3913","Applied Sciences","Engineering","Environmental Engineering","auto_issn"
"Brain and Cognition","0278-2626","Health Sciences","Psychology & Cognitive Sciences","Experimental Psychology","auto_issn"
"IEEE Transactions on Computers","0018-9340","Applied Sciences","Information & Communication Technologies","Computer Hardware & Architecture","auto_issn"
"Journal of Economic Theory","0022-0531","Economic & Social Sciences","Economics & Business ","Economic Theory","auto_issn"
"European Radiology","0938-7994","Health Sciences","Clinical Medicine","Nuclear Medicine & Medical Imaging","auto_issn"
"Applied Energy","0306-2619","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Applied Energy","0306-2619","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Applied Radiation and Isotopes","0969-8043","Health Sciences","Clinical Medicine","Nuclear Medicine & Medical Imaging","auto_issn"
"The Astrophysical Journal","0004-637X","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"British Journal of Education Psychology","0007-0998","Economic & Social Sciences","Social Sciences","Education","auto_issn"
"Carcinogenesis","0143-3334","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Computer Aided Geometric Design","0167-8396","Applied Sciences","Information & Communication Technologies","Software Engineering","auto_issn"
"Earth's future","2328-4277","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","manual"
"Environmental Research Letters","1748-9326","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_name"
"IEEE Signal Processing Magazine","1053-5888","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","auto_issn"
"JAMA pediatrics","2168-6203","Health Sciences","Clinical Medicine","Pediatrics","manual"
"Journal of ceramic science and technology","2190-9385","Applied Sciences","Enabling & Strategic Technologies","Materials","manual"
"Journal of Physics G: Nuclear and Particle Physics","0954-3899","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Nature Physics","1745-2473","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nature Plants","2055-026X","Natural Sciences","Biology","Plant Biology & Botany","manual"
"European Journal of Operational Research","0377-2217","Applied Sciences","Engineering","Operations Research","auto_issn"
"Applied Physics Letters","0003-6951","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review B - Condensed Matter and Materials Physics","2469-9950","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"BMC Microbiology","1471-2180","Health Sciences","Biomedical Research","Microbiology","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physics Letters A","0375-9601","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Physica scripta","0031-8949","Natural Sciences","Physics & Astronomy","General Physics","manual"
"Discrete Applied Mathematics","0166-218X","Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"New Journal of Physics","1367-2630","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"World Journal of Biological Psychiatry (Informa)","1562-2975","Health Sciences","Clinical Medicine","Psychiatry","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Science of the Total Environment","0048-9697","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Journal of Computational Chemistry","0192-8651","Natural Sciences","Physics & Astronomy","Chemical Physics","auto_issn"
"Journal of Magnetism and Magnetic Materials","0304-8853","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"The New England journal of medicine","0028-4793","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"Monthly Notices of the Royal Astronomical Society","0035-8711","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","0168-9002","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Frontiers in Microbiology","1664-302X","Health Sciences","Biomedical Research","Microbiology","manual"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Statistics in Medicine","0277-6715","Natural Sciences","Mathematics & Statistics","Statistics & Probability","auto_issn"
"Breast Cancer Research","1465-542X","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Journal of Alloys and Compounds","0925-8388","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"New Journal of Physics","1367-2630","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_name"
"International journal of systematic and evolutionary microbiology","1466-5026","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Lithos","0024-4937","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Proceedings of the Institution of Mechanical Engineers. Part C, Journal of mechanical engineering science","0954-4062","Applied Sciences","Engineering","Mechanical Engineering & Transports","manual"
"Frontiers in behavioral neuroscience","1881-7815","Natural Sciences","Biology","Ecology","manual"
"Journal of Instrumentation","1748-0221","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Plasma Physics and Controlled Fusion (Elsevier)","0741-3335","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"PLoS biology","1544-9173","Health Sciences","Biomedical Research","Developmental Biology","auto_issn"
"Environmental Microbiology","1462-2912","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Journal of Cleaner Production","0959-6526","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"European Psychiatry","0924-9338","Health Sciences","Clinical Medicine","Psychiatry","auto_issn"
"International Journal of Plasticity","0749-6419","Applied Sciences","Engineering","Mechanical Engineering & Transports","auto_issn"
"Fungal biology","1878-6146","Health Sciences","Biomedical Research","Microbiology","manual"
"Journal of Fusion Energy","0164-0313","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Experimental Dermatology","0906-6705","Health Sciences","Clinical Medicine","Dermatology & Venereal Diseases","auto_issn"
"Anesthesia and Analgesia","0003-2999","Health Sciences","Clinical Medicine","Anesthesiology","auto_issn"
"Empirical Economics","0377-7332","Economic & Social Sciences","Economics & Business ","Economics","auto_issn"
"JOM","1047-4838","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Annals of the rheumatic diseases","0003-4967","Health Sciences","Clinical Medicine","Arthritis & Rheumatology","auto_issn"
"Asian-Australasian journal of animal sciences","1011-2367","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","auto_issn"
"Atmospheric Environment","1352-2310","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Diabetes Research and Clinical Practice","0168-8227","Health Sciences","Clinical Medicine","Endocrinology & Metabolism","auto_issn"
"Fungal biology","1878-6146","Health Sciences","Biomedical Research","Microbiology","manual"
"International forum of allergy & rhinology","2042-6976","Health Sciences","Clinical Medicine","Allergy","manual"
"Journal of the National Cancer Institute","0027-8874","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Journal of the European Ceramic Society","0955-2219","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Mineralogy and Petrology","0930-0708","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Physiology & Behavior","0031-9384","Health Sciences","Psychology & Cognitive Sciences","Behavioral Science & Comparative Psychology","auto_issn"
"Planta Medica","0032-0943","Natural Sciences","Chemistry","Medicinal & Biomolecular Chemistry","auto_issn"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Renewable Energy","0960-1481","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Review of Palaeobotany and Palynology","0034-6667","Natural Sciences","Earth & Environmental Sciences","Paleontology","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of Physics B: Atomic, Molecular and Optical Physics","0953-4075","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Cell","0092-8674","Health Sciences","Biomedical Research","Developmental Biology","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of geophysical research. Atmospheres","2169-897X","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"International Geology Review","0020-6814","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"SpringerPlus","2193-1801","General","General Science & Technology","General Science & Technology","manual"
"Journal of Cleaner Production","0959-6526","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Journal of Cleaner Production","0959-6526","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Journal of Cleaner Production","0959-6526","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"BMC Evolutionary Biology","1471-2148","Natural Sciences","Biology","Evolutionary Biology","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Biology open","2046-6390","Natural Sciences","Biology","Evolutionary Biology","manual"
"International Journal of Cardiology","0167-5273","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","auto_issn"
"Linear Algebra and its Applications","0024-3795","Natural Sciences","Mathematics & Statistics","Numerical & Computational Mathematics","auto_issn"
"Veterinary Microbiology","0378-1135","Applied Sciences","Agriculture, Fisheries & Forestry","Veterinary Sciences","auto_issn"
"Applied Mathematics and Computation","0096-3003","Natural Sciences","Mathematics & Statistics","Numerical & Computational Mathematics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","1550-7998","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of Proteomics","1874-3919","Health Sciences","Biomedical Research","Biochemistry & Molecular Biology","auto_issn"
"Science","0036-8075","General","General Science & Technology","General Science & Technology","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Science","0036-8075","General","General Science & Technology","General Science & Technology","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Frontiers in cellular and infection microbiology","2235-2988","Health Sciences","Clinical Medicine","Immunology","manual"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Nucleic Acids Research","0305-1048","Health Sciences","Biomedical Research","Developmental Biology","auto_issn"
"Uncertainty Modeling in Knowledge Engineering and Decision Making",NA,"Applied Sciences","Information & Communication Technologies","Information Systems","manual"
"Bulgarian Astronomical Journal","1313-2709","Natural Sciences","Physics & Astronomy","Acoustics","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Changing Organization: Agency Theory in a Cross-Cultural Context",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"Progress in electromagnetics research M. Pier M","1937-8726","Natural Sciences","Physics & Astronomy","Applied Physics","manual"
"ESMO open","2059-7029","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","manual"
"Proceedings of the 2016 International Conference on Virtual Systems and Multimedia (VSMM)","2474-1485","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","manual"
"Lecture notes in computer science","0302-9743","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"2016 IEEE Global Communications Conference, GLOBECOM","2334-0983","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","manual"
"Proceedings of the 38th International Conference on Software Engineering Companion",NA,"Applied Sciences","Information & Communication Technologies","Software Engineering","manual"
"28th IAHR Symposium on Hydraulic Machinery and Systems","1755-1307","Applied Sciences","Engineering","Environmental Engineering","manual"
"38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC'16)","1557-170X","Applied Sciences","Engineering","Biomedical Engineering","manual"
"2016 Progress In Electromagnetics Research Symposium, PIERS 2016",NA,"Natural Sciences","Physics & Astronomy","Applied Physics","manual"
"2016 Progress In Electromagnetics Research Symposium, PIERS 2016",NA,"Natural Sciences","Physics & Astronomy","Applied Physics","manual"
"Soda Lakes of East Africa",NA,"Natural Sciences","Biology","Ecology","manual"
"2016 IEEE Conference on Electromagnetic Field Computation",NA,"Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","manual"
"2016 International Geoscience and Remote Sensing Symposium (IGARSS 2016)","2153-6996","Applied Sciences","Engineering","Geological & Geomatics Engineering","manual"
"Water Science and Engineering","1674-2370","Applied Sciences","Engineering","Environmental Engineering","manual"
"Water Science and Engineering","1674-2370","Applied Sciences","Engineering","Environmental Engineering","manual"
"XXIII ISPRS Congress, Commission III","2194-9034","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","manual"
"2016 IEEE International Test Conference (ITC 2016)","1089-3539","Applied Sciences","Engineering","Electrical & Electronic Engineering","manual"
"XXIII ISPRS Congress, Commission III","2194-9034","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","manual"
"Archiv orienta¥lni¥","0044-8699","Economic & Social Sciences","Social Sciences","Cultural Studies","manual"
"NOSE Conference on Environmental Odour Monitoring & Control","1974-9791","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","manual"
"International Workshop on Quantum Chromodynamics - Theory and Experiment (QCD@Work 2016)","2100-014X","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","manual"
"2016 1st International Workshop on Science of Smart City Operations and Platforms Engineering (SCOPE)",NA,"Applied Sciences","Built Environment & Design","Urban & Regional Planning","manual"
"International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS)",NA,"Applied Sciences","Information & Communication Technologies","Software Engineering","manual"
"Journal of place management and development","1753-8335","Economic & Social Sciences","Economics & Business ","Sport, Leisure & Tourism","manual"
"2016 IEEE Information Technology, Networking,Electronic and Automation Control Conference(ITNEC 2016)",NA,"Applied Sciences","Engineering","Industrial Engineering & Automation","manual"
"Monte Carlo and Quasi-Monte Carlo Methods","2194-1009","Natural Sciences","Mathematics & Statistics","Statistics & Probability","manual"
"Lecture notes in computer science","0302-9743","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Lecture notes in computer science","0302-9743","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Corporate Social Performance In The Age Of Irresponsibility Cross National Perspective",NA,"Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"Polish Journal of Environmental Studies","1230-1485","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Regional Studies","0034-3404","Applied Sciences","Built Environment & Design","Urban & Regional Planning","auto_issn"
"2016 IEEE Aerospace Conference","1095-323X","Applied Sciences","Engineering","Aerospace & Aeronautics","manual"
"Proceedings of the ASME/BATH Symposium on Fluid Power and Motion Control",NA,"Applied Sciences","Engineering","Industrial Engineering & Automation","manual"
"Advances in Architectural Geometry 2016",NA,"Applied Sciences","Built Environment & Design","Architecture","manual"
"Heart Asia","2398-5968","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","manual"
"Journal of Travel & Tourism Marketing","1054-8408","Economic & Social Sciences","Economics & Business ","Marketing","auto_issn"
"Lecture notes in computer science","0302-9743","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Pandas and People: Coupling Human and Natural Systems for Sustainability",NA,"Natural Sciences","Biology","Ecology","manual"
"Pandas and People: Coupling Human and Natural Systems for Sustainability",NA,"Natural Sciences","Biology","Ecology","manual"
"Pandas and People: Coupling Human and Natural Systems for Sustainability",NA,"Natural Sciences","Biology","Ecology","manual"
"Pandas and People: Coupling Human and Natural Systems for Sustainability",NA,"Natural Sciences","Biology","Ecology","manual"
"Pandas and People: Coupling Human and Natural Systems for Sustainability",NA,"Natural Sciences","Biology","Ecology","manual"
